15:50:41 INFO  tests.TestBase - Start on method - loginNegativeTestWithWrongPassword
15:50:42 INFO  tests.TestBase - End off method - loginNegativeTestWithWrongPassword
15:50:42 INFO  tests.TestBase - Start on method - loginPositive
15:50:43 INFO  tests.TestBase - End off method - loginPositive
15:50:43 INFO  tests.TestBase - Start on method - loginPositiveDto
15:50:44 INFO  tests.TestBase - End off method - loginPositiveDto
15:50:44 INFO  tests.TestBase - Start on method - loginTestBase
15:50:45 INFO  tests.TestBase - End off method - loginTestBase
15:50:45 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:50:48 INFO  tests.TestBase - End off method - loginTestDP_CSV
15:50:48 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:50:52 INFO  tests.TestBase - End off method - loginTestDP_CSV
15:50:52 INFO  tests.TestBase - Start on method - loginTestDP_CSV
15:50:53 INFO  tests.TestBase - End off method - loginTestDP_CSV
15:50:53 INFO  tests.TestBase - Start on method - loginTestDataProvider
15:50:54 INFO  tests.TestBase - End off method - loginTestDataProvider
15:50:54 INFO  tests.TestBase - Start on method - loginTestDataProvider
15:50:54 INFO  tests.TestBase - End off method - loginTestDataProvider
15:50:54 INFO  tests.TestBase - Start on method - loginTestDataProvider
15:50:55 INFO  tests.TestBase - End off method - loginTestDataProvider
15:50:55 INFO  tests.TestBase - Start on method - loginTestDataProviderClass
15:50:57 INFO  tests.TestBase - End off method - loginTestDataProviderClass
15:50:57 INFO  tests.TestBase - Start on method - loginTestDataProviderClass
15:50:59 INFO  tests.TestBase - End off method - loginTestDataProviderClass
15:50:59 INFO  tests.TestBase - Start on method - loginTestDataProviderClass
15:51:01 INFO  tests.TestBase - End off method - loginTestDataProviderClass
